script,neutral_sentiment,positive_sentiment,negative_sentiment
讓我們歡迎鋼鋼！讓我們歡迎鋼鋼！今天晚上超級熱鬧耶！大家晚上最後快結束了，我們把氣氛吵起來！今天晚上好不好？好！水啦，超喜歡！大部分人都什麼都沒想，另外一些人說我不想說謊，其實還好。可是因為這個社會，這個社會就教我們說不要說謊。大家都覺得說謊是一件很不好的事情，可是你有沒有發現，歷史上最有名的那些人都超會說謊的，像諸葛亮、諸葛亮跟大辮子、大辮子諸葛亮，對！什麼木牛牛馬空城記、草船借箭，全部都是詞片的諸葛亮耶！大家記得草船借箭嗎？草船借箭就是，他那時候跟草草說，我們要打過去囉，我們一群人現在要打過去囉，然後草草每個弓箭手都準備好，準備要發射，結果他派出去一群稻草人，對不對？所以後來現代版是怎樣，就是我們卡米迪跟你們說，我們現在要講笑話喔，要講很好笑的笑話喔，要派出去五個稻草人，一個笑聲就像弓箭一樣！,0.2,0.6,0.2
還我諸葛亮是死騙子！以諸葛亮這種死騙子個性，我完全不相信，完全不相信！他三不毛盧的前兩次是不在家，完全不相信，他一定在家好不好，他一定躲在那個小書筒後面說，說我不在，說我不在。,0.0,0.0,1.0
我知道，因為我媽，我小時候接電話的時候，我媽就這樣啊，喂，找我媽媽嗎？說我不在，說我不在，她說她不在，啊，她過來了，而且很生氣，媽媽就很火，叫說我不在，每次接電話都沒好事，最討厭接，喂，媽，老師你好，好久不見。,0.6,0.2,0.2
諸葛亮就是那種，前一秒你看到他臉書上面還是綠燈，結果你一瞧他，在嗎？不見，臭諸葛亮。到了第三次，到第三次三顧茅廬的時候，諸葛亮終於發現我不在家這個藉口已經不能再用，所以他這次，諸葛亮看到劉備他們來，就像每個學生族群看到老人上公車一樣，咳，咳，這麼美，咳，諸葛亮裝睡，然後這時候，劉備跟官員就想說，這張飛，這張飛的眼睛是雪亮的，張飛說，去他家後面放把火，看他出不出來，張飛很可怕耶，張飛就那種，死都要戳爆你的謊言，就是那種。假如說現在有些女生，你不想要參加什麼聚會，你就說什麼，嗯，我最近有點筋痛，不想去，就是那種，張飛就直接，咳，咳下來。那個衛生人員給我甜點啊，吃番茄醬，吃番茄醬。不是所有人都有拍手，我現在已經黏條，吃草莓。,0.4,0.3,0.3
還要跟上輩做朋友，還要跟上輩做朋友。那三顧茅廬這個故事告訴我們什麼事？不是說什麼禮賢下士不死下文，不是不是不是，不是叫這個。三顧茅廬告訴我們說，你一個人如果要成功，你從出社會那一剎那，你就要開始說謊。我從小時候寫作文就身安持理，就是很明白這個道理的意思，謝謝，謝謝，謝謝。我小時候寫作文的時候，每次作文一來，我就會寫死一個家人，大家都會吧？大家都會吧？小時候那個作文不完全就死亡筆記本，題目一下來我就想，我要成為新世界的神，對，沒錯啦。還是有些人是寫別的題目，有些人的作文題目什麼媽媽的手，每個人都把媽媽的手寫超醜，像是爬蟲那樣，對，老師改作文改到一半說，嗯，我要去改賣護手霜了，或是家長日的時候偷偷檢查說，啊，剛剛媽媽你好，上次打去你家好像沒人接喔，真的啦。那隨著年齡長大，我們發現謊言的集散地漸漸轉變，漸漸從我的作文簿開始轉轉轉，轉到臉書上。臉書上很多謊言，你好漂亮，你好正，這種就算了，這種我已經習慣了。那我有一個大學同學，這真實故事喔，就是我有一個大學同學跑去整形，然後整完形之後他就PO了一個動態，下面回覆都會說什麼，你好勇敢。我想說哪裡勇敢，就是沒有勇氣面對自己的臉去漸行。呃，大家不笑是因為大家都整過形，你怕笑太用力鼻子掉下來。真的耶，他以前醜歸醜，可是醜得很自然，現在是醜得很不自然，超現實的醜法，打臉重來。,0.5,0.2,0.3
其實說謊就是人類的天性，大家每個人只要是人類都會說謊。現在機器越來越進步，連機器都會說謊。每次在等公車的時候，即將進站，即將進站，即將進站，12分鐘，為什麼？要怎樣？龍貓的公車經過我失去自知之心，我看不到嗎？這是飲水機，請用冰開水，食道融化。他最有感覺的應該是手機的電力，手機的電力，上一秒看還有18%，下一秒18%沒了，掌聲鼓勵。通常遇到這種情形，老一輩軍工銷都很不能接受，大家趕快出國，他們不能出國只能去哪？小巨蛋，大家都會很生氣，為什麼要跑去小巨蛋？他們只是想要進去充電，他們不要尊嚴，只要電源，只要電源。我是覺得18%那個政策本來就是很不公平，但是我覺得老一輩軍工銷就是因為知道很爽，所以才去當了嘛。我打個比方，假如說今天推出一支手機，他標榜的就是說，這個手機的電力用到剩18%的時候，他就電力再也不會下降，你什麼都不用做，你死都還是有18%。那你還會管電力嗎？你不會管電力啊，你一定整天在公車上，就在那邊滑手機，學院上滑手機，走在路上滑手機，不好意思撞到你，但我不會檢討，因為我是現代人，繼續。,0.4,0.3,0.3
在辦公室滑手機，一直滑滑滑，你根本不會管電力啊，你不會買充電線，你不會買行動電源，因為就算天塌下來，你還是有18%。你到55歲，不對，你到5點半的時候，大家都想說，我要不要充電，充到6點半，你說，我有18%。不會管你的電力嘛，但是一整天下來，回到家，那你晚上回到家的時候，你搭電梯準備上樓，你快到你家那層樓了，電梯突然故障，然後這是個很老舊的電梯，所以它沒有任何通訊設備。你這時候想說，啊沒關係，反正我可以打電話求救嘛，手機拿出來，18%沒了。他們心聲大概是這樣，但是我們現在就是一直都在怪那些什麼18%的人，我們都沒有想過，他們才是被騙的人，就是我們都是怪拿著18%手機的人。但是真正要怪的是不是那些發明18%騙人的手機的人？今天最會騙人的是什麼？政府，政府超會騙人耶。我每次看什麼幸福城市調查，每次前三名都有高雄，搞屁喔，誰都會亂來啊。你知道高雄市政府的赤字，讓平均每個高雄市民負債9.2萬嗎？在場有沒有高雄人，幫我掌聲加油尖叫？你看，這有兩個可能性，第一個是在場真的沒有高雄人，第二個是他們開心不起來。還有第二個，事實上呢，假如說你是高雄醫學院的醫學生，你如果接受婦產科實習的時候，他們就教你說，如果一個嬰兒生出來，他沒有哭的話，你就在他耳邊說，9.2萬！哇，謝謝大家我開了！,0.2,0.0,1.0
接下來這位表演者呢，特別啦！他的名字一聽就覺得很 gay，然後他的場相也很 gay，身材也很 gay，又每天去健身房。他不管怎麼樣，都會跟 gay 扯上邊，扯上邊而已喔，沒有扯上該邊。接下來讓我們聽聽看，他自己解釋他自己是不是 gay，讓我們歡迎鋼鋼！,0.5,0.2,0.3
我剛剛以為詹姆士要上來講第二段，你準備好了嗎？準備好聽我解釋我的性向了嗎？我不是 gay，你在期待什麼？為什麼你們一副失望的樣子？為什麼？但我知道很容易誤會，非常容易誤會。我這個人，我覺得我人生從小到大都經歷各種大大小小的誤會，像我小時候在美國長大，然後後來回台灣，所以台灣人都覺得我是美國人，然後美國人都覺得我是一個普通的亞洲人這樣子。然後大學的時候文組雙理組，所以文組的同學就覺得，喔那他理科的，然後理組的同學就覺得，喔他很笨。但就連我的性向，大家都很常誤會。像直男一看我就說，喔這一臉就 gay，可是 gay 看我會覺得我是天菜，喔耶！我實力這種賣肉，賣肉。生活中也會有很多誤會。,0.4,0.4,0.2
大家來到這邊，想說自己要來聽快樂嘴，可是剛剛聽完孟璇，你就想說賣肉。我超喜歡惰性記憶那個笑話，不起反應。我怎麼想不到，太強了！但真的生活中很多誤會。最近，最近天氣終於開始變冷了。前一陣子我不知道，大家還記不記得，暑假超級熱。暑假有曾經連續11天都超過37度，破歷史紀錄。然後那時候新聞都很喜歡用一個詞，叫做體感溫度，有沒有聽過體感溫度？總統今天天氣雖然是36度，但感覺像47度喔！我不懂他為什麼要用這種，你這樣子講這個詞，沒有對於這個概念有更清楚的理解。就是我不知道47度是什麼感覺，我又不是什麼剛果新人，我不知道47度是什麼感覺。你這樣講對我的理解沒有幫，就像是假如說有個朋友，他來跟你講，他說那天吃一個甜點，超好吃的，像被口爆。我不知道，我不知道被口爆是什麼感覺，好不好？不要用這種沒有人知道的詞，來解釋一個概念。,0.5,0.3,0.2
